id_left,title_left,description_left,brand_left,category_left
16740561," ""411095-001 DL145 G2 Opt 2.6GHz 1MB 2GB 80-GB"", ""Null"" 80-GB Wholesale 411095-001 Price 411095-001""","""Description:Proliant DL145R 1x AMD Dual-Core Opteron Model 285 2.6GHz 1MB L2 Cache per Core  2GB Advanced ECC PC3200 DDR SDRAM  includes 1 x 80GB Serial ATA (SATA) Hard Drive  NVIDIA GeForce2 GPU w/ 16MB DDR  Gigabit Ethernet  Rackmount-1UPart Number(s)Option Part# 411095-001"" ","""HP Enterprise""",Computers_and_Accessories
9541306," ""Samsung M390S0823DT1-C75 ASI 64MB 168p PC133 CL3 9c 8x8 1Rx8 3.3v SDRAM ECC RDIMM"""," ""M390S0823DT1-C75 ASI 64MB 168p PC133 CL3 9c 8x8 1Rx8 3.3v SDRAM ECC RDIMM""","""Samsung""",Computers_and_Accessories
15913478," ""Apple iMac 21.5-inch 3.1GHz Quad-core i7 (Late 2012) MD094LL/A"" ""iMac 21.5"" | macofalltrades""","""
Apple Part Number: MD094LL/A

Hardware Configuration

	21.5-inch LED-backlit glossy widescreen TFT LCD display with IPS, 1920x1080 resolution
	3.1GHz quad-core Intel Core i7 processor with Turbo Boost up to 3.9GHz
	16.0GB PC3-12800 (1600MHz) DDR3 SO-DIMM on-board memory
	1.0TB Fusion Drive
	NVIDIA GeForce GT 650M graphics with 512MB GDDR5 memory
	AirPort Extreme wireless card (802.11n)
	Bluetooth 4.0
	Built-in FaceTime HD camera
	2- Thunderbolt ports
	4- USB 3.0 ports
	1- Ethernet port
	1- Secure Digital (SDXC) slotPower Cable Included
"" ","""Null""",Computers_and_Accessories
16890309," ""340769-001 HP StorageWorks Internal DLT SCSI"", ""Null"" SCSI Wholesale 340769-001 Price 340769-001""","""Description:StorageWorks 20/40GB Internal DLT SCSI Tape DrivePart Number(s)Option Part# 340769-001"" ","""HP Enterprise""",Computers_and_Accessories
12904252," ""Asus 2Gb nVidia GeForce GT 730 Silent PCI-e VGA Card"" Card | GT730-SL-2GD3-BRK""","""Asus 2Gb nVidia GeForce GT 730 Silent PCI-e VGA Card"" ","""Asus""",Computers_and_Accessories
17548882," ""310590-001 ML370T G3 Xeon 3.06GHz 512k"", ""Null"" Price 310590-001"" 512k Wholesale 310590-001","""Description:
 Proliant ML370T G3 Xeon3.06/512k-533fsb 1GB   Manufacturer Part# 310590-001 
 "" ","""HP Enterprise""",Computers_and_Accessories
16604454," ""470065-235 DL320 G6 Xeon E5504 2.0GHz"", ""Null"" Price 470065-235"" 2.0GHz Wholesale 470065-235","""Description:Proliant DL320 G6 rack-mountable - 1U - 1 x Xeon E5504 2GHz - RAM 3GB - SATA - Hot-Swap 3.5-inch - ATI ES1000Part Number(s)HP Part# 470065-235"" ","""HP Enterprise""",Computers_and_Accessories
15486408," ""ASUS GeForce GTX 1080 TURBO 8GB GDDR5X Graphics Card ""@en | TURBO-GTX1080-8G Novatech""@en","""1607MHz Core, 1733MHz Boost, 10010MHz 256-bit Memory, 2560 CUDA Cores, DVI-D, HDMI, 3 x DPort, Length 269mm, VR Ready, 3 Year Warranty""@en ","""Asus""@en",Computers_and_Accessories
1524730," ""Sandisk Extreme microSDHC 64Gb Type 10"" 10 acheter et offres sur Scubastore""","""
		Description Sandisk Extreme microSDHC 64Gb Type 10 
		 
		
			Traduction générée automatiquement
			Voir description originale en anglais
		
		
		
			Capturez et sauvegardez plus de photos en haute définition et des vidéos Full HD2 sur votre smartphone ou tablette Android avec les cartes SanDisk Ultra® microSD UHS-I. Avec des capacités de stockage allant jusquà 128 Go3 vous pouvez prendre plus de photos et de vidéos sans vous soucier de manquer despace.- Capacités allant jusquà 128 Go2  pour enregistrer, transporter et tout garder- Des vitesses de transfert rapides jusquà 80 Mo/s1- Dotée de la classe 10 pour Full HD4- Résistante à leau, aux rayons X, aux températures extrêmes et aux chocs5.- Adaptateur SD™ inclus pour une compatibilité avec les appareils photo numériquesJUSQUÀ 128 Go3 POUR CAPTURER, TRANSPORTER ET TOUT GARDER:- Les appareils mobiles daujourdhui sont dotés de capacités photo et vidéo avancées, de sorte que vous pouvez enregistrer tous les moments passionnants du quotidien. Les cartes SanDisk Ultra microSDHC et microSDXC UHS-I vous permettent de capturer, transporter et garder tous ces moments au bout de vos doigts. Ajoutez un stockage jusquà 128 Go3 pour éliminer le dilemme de choisir entre ce quil faut garder et ce quil faut supprimer.Classe de vitesse 10 pour un enregistrement vidéo HD2:- Cette carte mémoire comporte une vidéo de classe 10 pour un enregistrement haute qualité vous permettant de filmer en Full HD2 sans pertes ni débit saccadé. Et avec jusquà 128 Go3 despace de stockage, les cartes vous permettent de stocker de nombreux fichiers vidéo Full HD avant davoir à transférer les fichiers sur votre ordinateur.Sauvegardez facilement vos médias préférés avec lapplication SanDisk Memory Zone:- Lapplication SanDisk Memory Zone, disponible sur la boutique Google Play™, facilite laffichage, laccès et la sauvegarde de tous vos fichiers provenant de la mémoire de votre téléphone dans un seul endroit pratique.4 Afin de permettre à votre smartphone de fonctionner à une performance optimale, vous pouvez configurer lapplication pour décharger automatiquement les fichiers de la mémoire interne de votre smartphone vers votre carte mémoire.Conception durable:- Les cartes SanDisk Ultra microSD UHS-I sont résistantes à leau, aux chocs, aux rayons X et aux températures extrêmes5 afin de protéger vos souvenirs des aléas du quotidien. Amenez votre téléphone ou votre tablette à la neige, à la piscine ou dans le désert. Votre carte survivra, même si ce nest pas le cas de votre appareil.Ajoutez du stockage aux smartphones et aux tablettes Android:- Les cartes SanDisk Ultra microSD UHS-I sont les compagnons idéaux pour la haute performance des smartphones et des tablettes Android. Le stockage supplémentaire de ces cartes signifie que vous pouvez prendre plus de photos et de vidéos sans vous soucier du manque despace.Adaptateur SD fourni:- Les cartes microSD UHS-I SanDisk Ultra vous permettent de garder tous vos fichiers numériques avec vous sur votre smartphone ou votre tablette. De plus, ladaptateur SD™ vous permet de déplacer facilement des fichiers vers dautres appareils compatibles SD, tels que les appareils photo numériques et les ordinateurs.Specifications:- Capacité: 64 GB- Vitesse de lecture: jusquà 80MB/s- Vitesse vidéo: C10- Facteur de forme: microSDXC
			Si vous êtes avide de , vous trouverez sur scubastore des milliers de références à ne pas manquer! Si vous souhaitez trouver des références de Mémoires flash de qualité, n’hésitez pas à faire un tour dans notre catalogue en ligne qui se fera un plaisir de vous satisfaire. Vous y trouverez votre Sandisk Extreme microSDHC 64Gb Type 10 à prix réduit.
			
				
					
				
				
				 
				
					Cliquez sur le lien suivant pour obtenir plus d´informations concernant:
					Caractéristiques
				
			
			
				
					
				
				
					Cliquez sur le lien suivant pour obtenir plus d´informations concernant:
					Manuel d´instruction
				
			
			
				
					Guide des tailles
				
			
		
	"" ","""Sandisk""",Camera_and_Photo
14492431," ""Gigabyte 990XA-UD3 AMD 990X (Socket AM3+) DDR3 Motherboard""@en ""▷ Gigabyte Motherboard | OcUK""@en","""AMD 990FX Chipset, x4 DDR3, x3 PCI-E x16, x1 PCI-E x1, x2 PCI, x6 SATA 6GB/s, x1 Gigabit LAN, x2 USB 3.0, x14 USB 2.0, Realtek HD 7.1 Audio, SLI & Xfire Support""@en ","""Gigabyte""@en",Computers_and_Accessories
11074046," ""16GB CF Compact Flash Card 18MB/s 120X+"""," media players ""16GB CF 50-pin up to 18 MB/s Read and 10 Write speeds 3.3V 5V dual voltage support 42.8mm x 36.4mm 3.3mm Operating Temperature 32 140&deg;F (0 60&deg;C) CompactFlash Type I Memory Card for digital cameras video other flash devices""","""Gigaram""",Computers_and_Accessories
6068792," ""Apple MD819AM/A 2 Meter Lightning to USB Cable""@en-US ""Home Audio Accessories - Page 411 | All Tech Toys""@en-US","""This USB 2.0 cable connects your iPhone, iPad, or iPod with Lightning connector to your computer's USB port for syncing and charging or to the Apple USB Power Adapter for convenient charging from a wall outlet.""@en-US ","""Apple""@en-US",Cellphones_and_Accessories
4147479," ""HP, 347786-B21, 8 INTERNAL PORT""@en 347786-B21 ""HP","""HP, 347786-B21, 8 INTERNAL PORT""@en ","""HP""@en",Computers_and_Accessories
17536794," ""Intel Core i7-3770K Quad-Core Processor 3.5 GHz 8 MB Cache LGA 1155 - BX80637I73770K""@en-US ""CPU Processors Page 6 | 5 Free Hosting""@en-US","""Intel BX80637I73770K Core i7-3770K Ivy Bridge 3.5GHz LGA 1155 77W Quad-Core Desktop Processor Intel HD Graphics 4000""@en-US ","""Intel""@en-US",Computers_and_Accessories
12545508," ""Zebra Stampante Card ZXP7; magnetizzatore""@it "" Zebra magnetizzatore cod.Z72-0M0C0000EM00 ""@it","""Zebra ZXP7 stampante di card, stampa a trasferimento termico a sublimazione, interfaccia USB/Ethernet, stampa solo fronte, magnetizzatore, standard ISO HiCo/LoCo, risoluzione 12 dots/mm (300 dpi)""@it ","""Zebra""@it",Computers_and_Accessories
15001162," ""230534-B21 HP 40-GB Ultra ATA 100 7.2K"", ""Null"" Price 230534-B21"" ""New 230534-B21 7.2K Wholesale","""Description:
 40GB Ultra ATA/100 7200 RPM DriveHewlett-Packard Part# 230534-B21"" ","""HP Enterprise""",Computers_and_Accessories
17005740," ""643774-B21 HP Xeon E74820 2.0GHz BL680c G7"" ""Null"""," ""Description:HP Intelï¿½ Xeonï¿½ E7-4820 BL680c G7(2.0GHz/8-core/18MB/105W)Full Processor Option KitPart Number(s) Manufacturer Part# 643774-B21""","""HP Enterprise""",Computers_and_Accessories
16979576," ""Apple iMac 27-inch 2.66GHz Quad-core i5 (Late 2009) MB953LL/A"" ""iMac 27"" | macofalltrades""","""
Apple Part Number: MB953LL/A

Hardware Configuration
27-inch LED-backlit glossy widescreen TFT LCD display with IPS, 2560x1440 resolution2.66GHz quad-core Intel Core i5 processor4.0GB (4x1.0GB) PC3-8500 (1066MHz) DDR3 SO-DIMM, supports up to 16.0GB1.0TB Serial ATA hard disk drive @ 7200RPMDVD-RW/CD-RW SuperDrive-DLATI Radeon HD 4850 graphics with 512MB GDDR3 memoryAirPort Extreme wireless card (802.11a/b/g/n)Bluetooth 2.1 + EDRBuilt-in iSight camera1- Mini DisplayPort4- USB 2.0 ports1- FireWire 800 port1- Ethernet port1- Secure Digital (SD) slotPower Cable Included"" ","""Null""",Computers_and_Accessories
6841382," ""Kingston Fury Black 16GB (1x16GB) DDR4 PC4-19200C15 2400MHz Single Channel Module (HX424C15FB/16)""@en ""▷ Kingston … | OcUK""@en","""2400MHz RAM Speed, CAS 15-15-15-35 Timings, 1.20-1.35v VDIMM, Lifetime Warranty with OcUK.""@en ","""Kingston""@en",Computers_and_Accessories
16180821," ""495605-B21 HP 64-GB (8x8GB) PC2-5300 SDRAM Kit"", ""Null"" Price 495605-B21"" ""New 495605-B21 Kit Wholesale","""Description:Genuine HPE 64GB (8x8GB) RegisteredPC2-5300 Dual-Rank SDRAM Memory KitPart Number(s)
Option Part# 495605-B21 (8 x 8GB)"" ","""HP Enterprise""",Computers_and_Accessories
33373," ""HP 512MB DDR 0.5GB ECC memory module"" ""Specs HP module modules (354560-B21)""","""
                More>>>
                
                
                                                
                                            
                            Short summary description HP 512MB DDR 0.5GB DDR ECC memory module:
                            This short summary of the HP 512MB DDR 0.5GB DDR ECC memory module data-sheet is auto-generated and uses the product title and the first six key specs.
                            HP 512MB DDR, 0.5 GB, 1 x 0.5 GB, DDR
                        
                                                                
                            Long summary description HP 512MB DDR 0.5GB DDR ECC memory module :
                            HP 512MB DDR. Component for: PC/server, Internal memory: 0.5 GB, Memory layout (modules x size): 1 x 0.5 GB, Internal memory type: DDR, ECC
                            This is an auto-generated long summary of HP 512MB DDR 0.5GB DDR ECC memory module based on the first three specs of the first five spec groups.


                        
                                    
            "", ""
                                    Long product name HP 512MB DDR 0.5GB DDR ECC memory module
                    :
                    The short editorial description of HP 512MB DDR 0.5GB DDR ECC memory module
                    
                    512MB, DDR, ECC
                            "" ","""HP""",Computers_and_Accessories
5243579," ""ST31000524NS EQL 1TB 7.2K 3.5 SATA PS4000E"", ""Null"" Price ST31000524NS"" PS4000E Wholesale ST31000524NS","""Description:Dell EqualLogic 1-TB 7.2K RPM 3G(3Gb/s) 3.5-inch Serial ATA (SATA)Hot-Plug Hard Drive in Dell EqualLogicPS4000 / PS5000 / PS6000 series3.5-inch Hot-Plug Hard Drive Tray (as pictured)Genuine Dell EqualLogic serial number and firmwareGenuine Dell EqualLogic Certified Hard DriveCompatible Storage Arrays:Dell EqualLogic PS4000 PS4000EDell EqualLogic PS5000 PS5000E PS5500EDell EqualLogic PS6000 PS6000EDell EqualLogic PS6010EPart Number(s)
Dell Part# 9JW154-536
Dell Part# 2HR85
Dell Part# 9CA158-056
Seagate Part# ST31000524NS-EQL"" ","""EqualLogic""",Computers_and_Accessories
6629172," ""Tech Air TAECB001 mochila portátil 15,6"" Ecológica""@es-es ""Compra online Tech 15 6""","""Tu equipo necesita estar protegido cuando estás en movimiento, la Protección Lateral mediante cojines extra de foam mantiene a tu equipo más que feliz y seguro, al mismo tiempo que te proporciona un espacio adicional para accesorios. Todo esto en un peso justo de 660 gramos. Mucho más que funcionalMarcaTech AirModeloTAECB001Caracteristicas- Compatibilidad: 15.6""- Protección acolchada- 2 secciones con cremalleras- Material: PET Reciclado, hecha de botellas recicladas- Color: Negro- Dimensión Externa WxDxH: 45 x 33 x 1.9 cm- Dimensión Interna WxDxH: 37 x 29 x 4 cm- Peso: 660g- Tipo de protección: Protección lateral- Ruedas: No- Número de compartimientos: 2- Número de bolsillos: 2Fecha de revisión11-04-2017 por MSB""@es-es ","""Null""@es-es",Computers_and_Accessories
12358524," ""Corsair Obsidian 350D Micro ATX Case - Black (CC-9011028-WW)""@en ""▷ Corsair (CC-9011028-WW) | OcUK""@en","""The only Micro ATX case for high-performance system builds.""@en ","""Corsair""@en",Computers_and_Accessories
4948058," ""Asus Prime H270-Pro Intel H270 (Socket 1151) DDR4 Motherboard""@en ""▷ Asus Motherboard | OcUK""@en","""Skylake/Kabylake, DDR4, 2x PCIE x16, 2x PCIE x1, 2x PCI, 6x SATA 6Gb/s, 2x M.2 (SATA/PCIE), Gigabit LAN, HD Audio, 6x USB3.0, 6x USB2.0, 1x USB Type C, Crossfire""@en ","""Asus""@en",Computers_and_Accessories
10386197," ""500660-B21 HP 4GB (1x4GB) PC3-8500 RDIMM"", ""Null"" Price 500660-B21-2Pack"" ""New 500660-B21 RDIMM 2 Pack Wholesale","""Description:2 x Genuine HPE 4GB (1x4GB) PC3-8500 Registered CAS 7Quad Rank x8 Low Power DRAM Memory Kit Part Number(s)
Option Part# 500660-B21 (1 module per Kit)
Spare Part# 501535-001
Assembly Part# 500204-061"" ","""HP Enterprise""",Computers_and_Accessories
16172733," "" Samsung 840 EVO Series 250GB SATA III 6Gb/s 2.5"" Internal Solid State Drive (SSD) MZ-7TE250BW""@en MZ-7TE250BW - Micro Center ""@en","""
                        Significantly enhance the speed and performance of your everyday PC activities. Boot up your computer in as little as 15 seconds and optimize your web browsing, email, multimedia, and gaming to work faster. Samsung RAPID technology boosts the overall performance of your PC by using idle DRAM as an ultra-fast buffer. With Samsungs TurboWrite write acceleration technology, you can work faster and the 5th generation 3-Core Samsung MEX Controller will allow you to multi-task faster as well.

createCookie('T418124','ODQwIEVWTyBTZXJpZXMgMjUwR0IgU0FUQSBJSUkgNkdiL3MgMi41IiBJbnRlcm5hbCBTb2xpZCBTdGF0ZSBEcml2ZSAoU1NEKSBNWi03VEUyNTBCVw==',30); createCookie('S418124','708693', 30);
 


                    ""@en ","""
                        Samsung
""@en, ""Null""@en",Computers_and_Accessories
15928063," ""293472-B22 HP MSL5026 SDLT RackMount Tape Library"" ""Null"""," ""Description:HP MSL5026 160/320GB SDLT RackMount Tape LibraryPart Number(s) Hewlett-Packard Part# 293472-B22 ""","""HP Enterprise""",Computers_and_Accessories
6028937," ""Corsair 128GB Flash Voyager Slider X2 USB 3.0 Drive (CMFSL3X2-128GB)""@en ""▷ Corsair (C… | OcUK""@en","""Flash Voyager Slider X2 is a compact USB 3.0 drive that doesn’t sacrifice size for performance. It has a smart design, with a USB connector that retracts for protection""@en ","""Corsair""@en",Computers_and_Accessories
17140727," ""453475-B21 HP Xeon L5335 2.0GHz DL140 G3"" ""Null"""," ""Description:Intelï¿½ Xeonï¿½ L5335 DL140 G3(2.0GHz/4-core/8MB/80W)Full Processor Option KitPart Number(s) Manufacturer Part# 453475-B21""","""HP Enterprise""",Computers_and_Accessories
3349292," ""Corsair Air Series AF120 LED Quiet Edition High Airflow Fan Single Pack - White""@en-US ""Computer Accessories & Peripherals Page 121 | Laptops Outlet Direct""@en-US","""Superior cooling performance and LED illumination Corsair Air Series LED high airflow PC case fans combine efficient, low-noise airflow with striking LED lighting. The custom-molded blades are designed for high-volume air delivery with less noise and turbulence than typical case fans. They're translucent, with a frosted texture, so the light from the four LEDs adds a dramatic effect.Tuned for high-airflow, large volume cooling Air Series AF fan models perform best in unrestricted spaces with at least 3cm of clearance, and they're ideal for mounting at the rear or top of your PC case as exhaust fans for your PC's motherboard and CPU, graphics accelerators, and other components that fill the case with heat. They work equally well as unrestricted intake fans for areas like side panels or bottom intakes. For high restriction areas like hard drive cages or in other tight spaces where there's less air volume, check out our Air Series SP models of high static pressure fans.""@en-US ","""Corsair""@en-US",Computers_and_Accessories
17486657," ""411094-001 DL145 G2 Opt 2.6GHz 1MB 2GB 36GB"" ""Null"""," ""Description:Proliant DL145R 1x AMD Dual-Core Opteron Model 285 2.6GHz 1MB L2 Cache per Core 2GB Advanced ECC PC3200 DDR SDRAM includes 1 x 36.4GB Ultra320 3.5-inch 15K SCSI Hard Drive NVIDIA GeForce2 GPU w/16MB Gigabit Ethernet Rackmount-1U Part Number(s)Part# 411094-001""","""HP Enterprise""",Computers_and_Accessories
12800675," ""HP LaserJet Pro P1102 Laser Printer""@en","""HP LaserJet Pro P1102 Laser Printer - Monochrome - Plain Paper Print - Desktop 18 ppm Mono - 600 x 600 dpi - 2 MB - 150 sheets (Input Capacity) - USB - PC, Mac""@en ","""HP""@en",Office_Products
16126498," ""Apple MacBook Pro 15-inch 2.8GHz Quad-core i7 (Retina, Mid 2015) MJLT2LL/A"" ""Used Apple (Retina MJLT2LL/A - mac of all trades""","""
Includes: Battery, MagSafe Power Adapter

"" ","""Null""",Computers_and_Accessories
